id,area,research,teaching,bio
annet-aris,Strategy,"Digital Transformation of Society, Industries and Companies, Corporate Governance","Digital transformation and disruption, business unit strategy, corporate strategy, corporate governance, board remuneration","Annet Aris is Senior Affiliate Professor of Strategy at INSEAD. She joined INSEAD in 2003, her focus is on Digital transformation and disruption and its impact on society, industries and companies. She was nominated in 2010 and 2011 for the best teacher award by the MBA students. 

Annet has also extensive experience as a non-executive board member of a variety publicly listed companies across Europe. Currently she serves at the boards of Rabobank Group, Randstad NV, a global leader in HR services, the microchip machine manufacturer ASML NV, the intralogistics and forklift truck manufacturer Jungheinrich AG and the insurance company A.S.R. Netherlands N.V. Annet ranks in the top 10 most influential corporate directors in The Netherlands.

Annet is a Dutch native and received a MSc. from the University of Wageningen in 1984. After acceptance in McKinsey’s European INSEAD Fellow program, she completed her MBA with distinction in Fontainebleau in 1986. She worked for McKinsey from 1985 until 2003, at first in the Netherlands and in the UK and, since 1990, in Germany. She was elected partner in 1994 and co-led McKinsey’s German Media Practice from 1999-2003 working on a wide array of topics. 

She is the author of a large number of articles and case studies on digital transformation. Together with Jacques Bughin, she wrote the book Managing Media Companies, Harnessing Creative Value. Her book “Wegwijzer in het digitale doolhof” (in Dutch) is forthcoming.
"
anthony-vashevko,Organisational Behaviour,"Innovation,
Risk and Decision-making,
Market Categories,
Category Formation","Organisational Behaviour,
Innovation,
Social Networks","Anthony Vashevko is an Assistant Professor of Organisational Behaviour at INSEAD. His research focuses on the effects of uncertainty and innovation in markets. Organizations react to uncertainty by pursuing risky innovations and the results of their efforts complicate the environment for their competitors. Anthony's research examines when actors innovate, how their actions create emergent patterns of innovation and self-organization in markets, and why new markets emerge. His research has appeared in journals such as Organization Science.

Anthony holds a PhD in Organizational Behavior from Stanford University, a BS in Applied Mathematics and BA in Economics, both from the University of Chicago.
"
antoine-desir,Technology and Operations Management,"Revenue Management,
Choice Modeling,
Analytics","Social Media Analytics,
Optimization","Antoine is an Assistant professor of Technology and Operations Management at INSEAD. His research applies mathematical modeling and analytics to operations management problems with an aim to: (1) quantify fundamental tradeoffs, and (2) design efficient data-driven algorithms to support operational decisions. More precisely, he focuses on revenue management and choice modeling with applications such as online advertising. He was an MSOM student paper finalist in 2014 and 2017 and a Nicholson student paper finalist in 2014 and 2015. He spent a year as a post doctoral researcher at Google NYC.

Antoine holds a BA degree in Applied Mathematics from Ecole Polytechnique and a PhD in Operations Research from Columbia University. He teaches the Social Media Analytics MBA elective course as well as the PhD core Optimization course at INSEAD.
'"
antonio-fatas,Economics and Political Science,"Macroeconomics,
Fiscal Policy,
Economic Growth,
Business Cycles","Macroeconomics,
Growth,
Business Cycles,
Exchange Rates","Antonio Fatás is a Professor of Economics at INSEAD. He received his PhD in Economics from Harvard University. He is a Research Fellow at the Centre for Economic and Policy Research in London and has worked as an external consultant for international organisations such as the International Monetary Fund, the OECD and the World Bank. 

He teaches the macroeconomics core course in the MBA programme, as well as different modules on the global macroeconomic environment in the Executive Education. His research focuses on the study of business cycles, fiscal policy and the economics of European integration. His articles appear in academic journals such as the Quarterly Journal of Economics, Journal of Monetary Economics, Journal of Money, Credit and Banking, Journal of Public Economics, Journal of International Economics, Journal of Economic Growth, European Economic Review and Economic Policy."
balagopal-vissa,Entrepreneurship and Family Enterprise,"Building effective entrepreneurial teams and networks,
Business group networks,
Entrepreneurial leadership in emerging markets","New Venture Formation and Growth,
Entrepreneurial Leadership,
Expert in Using Simulation based Approach to Teach Entrepreneurship","Bala Vissa is Professor of Entrepreneurship at INSEAD. His research focuses on the people side of entrepreneurship—such as structuring effective venture teams, building entrepreneurial networks, and enhancing corporate governance—particularly in emerging economies. He is an invited speaker and advises entrepreneurial companies and professional investors on these topics.

Prof. Vissa has received numerous research awards and currently serves as Associate Editor at the Strategic Management Journal; in addition, he previously served as Associate Editor at the Academy of Management Journal. He also served as elected Chairperson of the Entrepreneurship & Strategy interest group of the Strategic Management Society.

He teaches topics related to entrepreneurial leadership, corporate venturing, new venture creation & growth in the MBA program as well as in executive training programs, using a variety of approaches including simulations and case-based learning. Currently he is directing INSEAD Leadership Programme for Senior Executives - India and Certificate in Leadership Effectiveness.

Prior to finishing his doctoral studies at London Business School, Prof. Vissa was involved in setting up and growing new businesses in different specialty chemical niches for Unilever in India.
"
bart-zhou-yueshen,Finance,"Operation,
Organization,
Regulation of Financial Securities Markets","Information Economics (PhD),
Financial Market Valuation (MBA)","Bart Zhou Yueshen is an assistant professor (Finance area) at INSEAD. His research focuses on the operation, organization, and regulation of financial securities markets, with specific interests on how real-world frictions and market structure affect resource allocation and information.

Bart holds a PhD in Finance (VU University Amsterdam, Tinbergen Institute, and Duisenberg School of Finance; 2014), an M.Phil. in finance (Universiteit van Amsterdam, Tinbergen Institute, and Duisenberg School of Finance; 2011), and a B.E&F (The University of Hong Kong; 2009).'"
ben-m-bensaou,Technology and Operations Management,"Building an Innovative Organisation,
A Process View of Value Innovation/Blue Ocean Strategy,
New Forms of Organisation,
Networked Organisations,
Strategic Alliances,
Trust-Based Partnerships,
Role/Impact of Information Technology on Organisations and Markets,
Comparison with Japanese Management,
IT and Mobility-driven Value Innovation","Building an Innovative Organisation,
Blue Ocean Strategy - A Process View,
Value Innovation - A Process View,
Strategy,
Managing Networked Organisations,
Managing Value-Adding Partnerships,
Information Technology and Corporate Transformation,
Understanding Japanese Business","Ben M. Bensaou is a Professor of Technology Management and Professor of Asian Business and Comparative Management at INSEAD, Fontainebleau, France. He was a Visiting Associate Professor at Harvard Business School in 1998-1999, a Senior Fellow at the Wharton School of Management in 2007-2008, and a Visiting Scholar the Haas School of Business at the University of California Berkeley in 2013-2015.

He received his PhD in Management from MIT Sloan School of Management, Cambridge, US, and his MA in Management Science from Hitotsubashi University, Tokyo, Japan; his Diplôme d’Ingénieur (MSc) in Civil Engineering and DEA in Mechanical Engineering from respectively the Ecole Nationale des TPE, Lyon and the Institut National Polytechnique de Grenoble, two Grandes Ecoles in France.

His research and teaching activities focus on: (1) how to create innovating capabilities and competencies as a way to build an innovating organisation and culture; (2) Blue Ocean Strategy and value innovation implementation, and roll out processes across the whole organisation; (3) how to build social capital within firms; (4) new forms of organisations, in particular networked corporations, strategic alliances, joint ventures, and value-adding partnerships; and (5) the impact of information technology on innovation. Professor Bensaou addresses these issues from an international comparative perspective, with a special focus on Japanese organisations. Professor Bensaou's research on buyer-supplier relations in the US and Japanese auto industries won him the Best Doctoral Dissertation Award in the field of information systems and a finalist nomination for the Free Press Award for outstanding dissertation research in the field of business policy and strategy. His case studies on innovation won the 2006, 2008 and 2009 ECCH Best Case Awards (with Kim & Mauborgne). His publications include papers in Academy of Management Journal, Management Science, Information Systems Research, Organization Science, Strategic Management Journal, Journal of International Business Studies, Harvard Business Review, Sloan Management Review, book chapters and conference proceedings. He has been a member of the Editorial Board of Information Systems Research, MIS Quarterly and MISQ Executive. He has been listed in the Who’s Who in the World since 1998.

He has been consulting for Asian, European and US corporations since 1993. At INSEAD, Professor Bensaou developed two new MBA courses: 'Managing Networked Organisations' and 'Understanding Japanese Business.' He also teaches courses on Competitive Strategy, Innovation, Blue Ocean Strategy and Value Innovation, Information Technology and Comparative Management (in English and French). He was a Visiting Professor at Aoyama Gakuin University, Tokyo, where he taught his 'Information Technology and Corporate Transformation' course. He has also been teaching (in Japanese) in Executive Education programmes at Keio Business School, Tokyo, Japan.

Professor Bensaou grew up in France. He also lived and was educated in Japan. He and his wife Masako currently live in Fontainebleau. Their son Sophian works in San Francisco, Alexis in Paris, and Lennon studies in Cambridge, US.
"
bernard-dumas,Finance,"International Finance: Capital Markets and Corporate Decisions,
International Economics: Trade and Balance of Payments,
Continuous-Time Dynamic Finance,
Capital Markets,
Corporate Finance","Empirical Asset Pricing (PhD),
Foundations of Financial Economics (PhD),
Investments (MBA)","Bernard Dumas is an Emeritus Professor of Finance at INSEAD. Prior to INSEAD, he was a Professor of Finance at the University of Lausanne and Swiss Finance Institute, and before joining Lausanne, he was Professor at INSEAD, HEC (Paris), the Wharton School of the University of Pennsylvania, and ESSEC.

Professor Dumas specialises in international finance and finance theory in continuous time. He is or has been Editor or associate Editor of various academic journals including The Review of Financial Studies, the Journal of Finance, and the Review of Finance. His research has been published in prestigious journals.

Professor Dumas has served as a Member of the Board of the American Finance Association and is a Research Associate of the National Bureau of Economic Research and a Research Fellow of the Centre for Economic Policy Research.

Professor Dumas received his Engineering degree from Ecole Centrale de Paris, and his MSc and PhD degrees from Columbia University, New York.
"
boris-babic,Decision Sciences,"Inference and Choice under Risk and Uncertainty,
Ethics of Artificial Intelligence and Machine Learning,
Ethics of Stereotypes","Management Decision Making (MBA),
Bayesian Statistics (PhD)","Boris Babic is an Assistant Professor of Decision Sciences at INSEAD. His research is predominantly in (1) Bayesian inference/epistemology and decision making, and (2) the normative/ethical dimensions arising in the implementation of artificial intelligence and machine learning. His current work examines the role of risk in statistical inference, the regulatory architecture for medical machine learning systems, and the adoption of AI/ML technology in large organizations. 

Before joining INSEAD, Boris was a postdoctoral scholar at the California Institute of Technology. He received a PhD and MS from the University of Michigan (Ann Arbor), a JD (cum laude) from Harvard Law School, and a BA from York University.

Previously, he was a trial lawyer at Quinn Emanuel Urquhart & Sullivan in Los Angeles, where he represented Samsung, Google, Mattel, and several large entertainment studios. He also represented multiple institutional investors in complex securities litigation arising out of the 2008 financial crisis.
"
charles-galunic,Organisational Behaviour,"Dynamic Capabilities and Managerial Innovation,
The Social Fabric of Innovation and Strategic Processes within Organisations, including Studies at the Organisational Level, focusing on Firm Dynamic Capabilities and at the Actor Level, exploring the Contribution of Human/ Social Capital and certain Facets of Knowledge Exchange on managerial innovativeness,
Intraorganisational Ecology,
The Evolutionary Algorithm is applied at the Intraorganizational Level,
Cultural Modes of thought, such as Ideas, Beliefs, Assumptions, Values, Interpretive Schema and Know-How, are examined as Replicators in Cultural Evolution","Core Course in Organisational Behaviour,
Strategic Management of Processes,
Network Theory,
Various Modules within Executive Education,
Transition to General Management Programme Director","Charles Galunic is a Professor of Organisational Behaviour and the Aviva Chaired Professor of Leadership and Responsibility at INSEAD. He works within the fields of organisation behaviour and strategy. His research explores the social fabric of innovation and change, and at multiple levels. At the individual level, he has studied the influence of social networks on a manager’s ability to innovate. At a corporate level, he has examined structural changes and the processes which help firms to adapt. The latter work is also focused on organisation culture, including its alignment with strategy, how it changes, and the role of leadership. Finally, he explores leadership transitions, that is how managers develop their leadership skills and identity. 

He has served on the editorial board of Strategic Organisation and the Strategic Management Journal, and is a former departmental editor of the Journal of International Business Studies. He has published in various academic and practitioner-oriented journals, including the Journal of Managerial and Decision Economics, Administrative Science Quarterly, Academy of Management Journal, Organisation Science, Strategic Management Journal, Harvard Business Review, and Research in Organisational Behaviour. 

Professor Galunic has been a pioneer of several courses at INSEAD, including the core MBA course on Managing Organisations. He has won best case study awards, including the 2007 ECCH Best Case Award (Organisational Behaviour/Human Resources area). He also teaches in a variety of INSEAD Executive Education programmes, both in Fontainebleau and in Asia, and was a programme director of the INSEAD's high potentials programme (Management Acceleration Programme). He was a nominee for the Best Core Teacher Award, EMBA in 2004, 2005, 2006, and received the 2004/2005 INSEAD Excellence Award in Executive Education.

Professor Galunic holds a PhD in Organisational Behaviour/Industrial Engineering from Stanford University, California; a BA in Philosophy, Politics and Economics from Oxford University (Canadian Rhodes Scholar); and a BSc in Chemical Engineering from Queen's University, Canada.

Charles Galunic directs the Executive Education Transition to General Management Programme and Leading Organisations in Disruptive Times.'"
chengyi-lin,Strategy,"Digital Strategy and Execution,
Innovation,
Digital Transformation,
Leading Strategic Initiatives","Digital Strategy,
Digital Transformation,
Leading Innovation","Chengyi Lin is Affiliate Professor of Strategy. He has created and continues to direct many of INSEAD’s executive education programmes, including residential, online and blended learning programmes. 

Professor Lin’s research interest primarily focuses on the topics of digital transformation and innovation for global and multi-national organisations. His research and teaching explores the drivers of successful execution of companies’ digital strategy, the impact of corporate innovations and the effectiveness of strategic initiatives. He actively teaches in INSEAD’s MBA and EMBA programmes, directs and delivers customised executive programmes, as well as consults for companies on their business and organisational transformation.

Professor Lin has also co-led the teaching innovation and digital transformation at INSEAD with the Dean of Innovations. He has successfully formulated, executed INSEAD’s online strategy and established the school’s leading position in online executive education since 2014. Programmes he (co-)directed and developed have won over 12 prestige awards in 4 consecutive years. Professor Lin is also an expert in teaching innovations around online pedagogies, hybrid learning, action-based and peer-to-peer learning. 

He serves on boards and consults for multi-internationals on digital transformation and innovation. He is a standing member of the European Executive Council. He also mentors entrepreneurs and start-ups (e.g. Lafayette Plug and Play Accelerator).

His past experiences include management consulting at Bain & Company in Chicago, where he served as an expert advisor in the healthcare practice and led the development of thought leadership for corporate and R&D strategy in the pharmaceutical and biotech industry.

Professor. Lin holds a Ph.D. from Northwestern University, a certificate from Kellogg School of Management and a B.Sc. from Tsinghua University. He has published in top scientific journals including Proceedings of the National Academy of Sciences, The Journal of Biological Chemistry, and Nucleic Acids Research."
christian-pinson,Marketing,"Consumer Behaviour,
Marketing Communications,
Applied Semiotics and its Subfields,
Applied Epistemology","Marketing Strategy,
Marketing Communications,
Consumer Behaviour","Professor Pinson is an Emeritus Professor of Marketing at INSEAD. He is also an Affiliate Professor at the University of Paris Dauphine (doctoral programme). He graduated from HEC (Ecole des Hautes Etudes Commerciales, France) and holds Masters Degrees in Sociology from the University of Paris and the Northwestern University and a PhD in Marketing from the Northwestern University. 

Professor Pinson is a co-author of the book Metatheory and Consumer Research (Dryden Press) and a co-editor of Encyclopédie du Marketing (Editions Techniques) and Marketing Research: Applications and Problems (Wiley). He has been a Visiting Scholar at the University of California, Los Angeles, and is a former President of AFM (The French Marketing Association). From 2001 to 2008, he was an editor of Recherches et Applications en Marketing, the leading French academic journal in marketing. He serves as a book series editor for Palgrave/Macmillan Press Ltd as well as an editorial advisor for the French publisher Dunod. He is a member of the editorial board of several international academic journals in marketing.

His research interests include consumer behaviour, marketing research, and marketing communications."
